origin;Freq;name;Freq;language;Freq;facets;Freq
0;0,103448275862069;Anti-Phishing Self-Efficacy;0,00578034682080925;Arabic;0,01156069364161850;"computing behavior; IT knowledge";0,00578034682080925
NA;NA;Password Self-Efficacy;0,00578034682080925;Korean;0,01734104046242774;"security in social networking sites; malicious software; web security & social engineering; computer security";0,00578034682080925
NA;NA;Perceived Self-Efficacy;0,00578034682080925;Malay;0,00578034682080925;"severity of threat; susceptibility to threat; self-efficacy; response efficacy";0,00578034682080925
1;0,896551724137931;BYOD Information Security Self-Efficacy;0,00578034682080925;Persian;0,00578034682080925;NA;0,95375722543352603
NA;NA;Perceived Self-Efficacy toward Anti-Phishing Behaviors;0,00578034682080925;NA;NA;NA;NA
NA;NA;Privacy-Protection Self-Efficacy;0,00578034682080925;NA;NA;NA;NA
NA;NA;Privacy Self-Efficacy;0,08670520231213873;NA;NA;NA;NA
NA;NA;Risk Beavior Diagnosis Scale;0,00578034682080925;NA;NA;NA;NA
NA;NA;Security Self-Efficacy;0,07514450867052024;NA;NA;NA;NA
NA;NA;Self-Efficacy;0,54913294797687862;NA;NA;NA;NA
NA;NA;Self-Efficacy (anti-malware software);0,00578034682080925;NA;NA;NA;NA
NA;NA;Facebook Self-Efficacy;0,00578034682080925;Swedish;0,00578034682080925;NA;NA
NA;NA;Self-Efficacy (Ease of Use);0,00578034682080925;NA;NA;NA;NA
NA;NA;Self-Efficacy (email security);0,00578034682080925;NA;NA;NA;NA
NA;NA;Self-Efficacy (Security-Related Confidence);0,00578034682080925;NA;NA;NA;NA
NA;NA;Computer Self-Efficacy;0,00578034682080925;NA;NA;NA;NA
NA;NA;Self-Efficacy (software update);0,00578034682080925;NA;NA;NA;NA
NA;NA;Self-Efficacy and Perceptions in the Safe Use of the Internet for Teachers;0,00578034682080925;NA;NA;NA;NA
NA;NA;Self-Efficacy for Privacy and Security;0,00578034682080925;NA;NA;NA;NA
NA;NA;Self-efficacy in Dealing with Threat;0,00578034682080925;NA;NA;NA;NA
NA;NA;Self-Efficacy in Information Security;0,01156069364161850;NA;NA;NA;NA
NA;NA;Self-Efficacy in Privacy Management;0,00578034682080925;NA;NA;NA;NA
NA;NA;Individual Self-Efficacy;0,00578034682080925;Taiwanese;0,00578034682080925;NA;NA
NA;NA;Self-Efficacy of Security Policy;0,00578034682080925;NA;NA;NA;NA
NA;NA;Self-Efficacy of Smartphone Security Use;0,00578034682080925;NA;NA;NA;NA
NA;NA;Self-Efficacy to Comply;0,01156069364161850;NA;NA;NA;NA
NA;NA;Self-Efficacy to Comply with ISPs;0,00578034682080925;NA;NA;NA;NA
NA;NA;Coping Self-Efficacy;0,02312138728323699;NA;NA;NA;NA
NA;NA;Specific Self-Efficacy in Cybersecurity;0,00578034682080925;NA;NA;NA;NA
NA;NA;NA;0,01734104046242774;NA;NA;NA;NA
NA;NA;Cyber Self-Efficacy;0,01156069364161850;NA;NA;NA;NA
NA;NA;Cybersecurity Engagement and Self-Efficacy Scale;0,00578034682080925;NA;NA;NA;NA
NA;NA;Cybersecurity Engangement and Self-Efficacy Scale (Cyber Threat Identification Self-Efficacy);0,00578034682080925;NA;NA;NA;NA
NA;NA;Information Security Self-Efficacy;0,02312138728323699;NA;0,28323699421965320;NA;NA
NA;NA;Electronic Device Self-Efficacy;0,00578034682080925;NA;NA;NA;NA
NA;NA;Electronic Privacy Self-Efficacy;0,00578034682080925;NA;NA;NA;NA
NA;NA;Information Self-Efficacy;0,00578034682080925;Chinese;0,05202312138728324;"knowledge and confidence; ease of use";0,00578034682080925
NA;NA;Mobile Privacy Protection Self-Efficacy;0,00578034682080925;Dutch;0,02312138728323699;"mastery experience; vicarious experience; emotional state; verbal persuasion";0,00578034682080925
NA;NA;Mobile Privacy Self-Efficacy;0,00578034682080925;English;0,57225433526011560;"perceived self-efficacy toward reporting spear phishing emails; perceived self-efficacy toward cyber security behaviors";0,00578034682080925
NA;NA;Mobile Self-Efficacy;0,00578034682080925;Finnish;0,00578034682080925;"privacy self-efficacy for protection; privacy self-efficacy for non-acquisition";0,00578034682080925
NA;NA;Online Privacy Self-Efficacy;0,01156069364161850;German;0,01156069364161850;"problem solving and general computer self-efficacy; cybersecurity enjoyment and intent to pursue; system administration self-efficacy; networking self-efficacy; web management self-efficacy; cyber threat identification self-efficacy";0,00578034682080925
